NAME,STATE,CITY,COUNTY,WEBSITE,TOT_ENROLL,NAICS_DESC,TELEPHONE
HOLLYWOOD CULTURAL COLLEGE,CA,LOS ANGELES,LOS ANGELES,www.hccollege.edu/,18,OTHER TECHNICAL AND TRADE SCHOOLS,(213) 739-9946
FLORIDA PROFESSIONAL INSTITUTE,FL,MIAMI,MIAMI-DADE,www.floridaprofessionalinstitute.com/,12,OTHER TECHNICAL AND TRADE SCHOOLS,(305) 264-4311
NUC UNIVERSITY - IBC INSTITUTE - CAGUAS,PR,CAGUAS,CAGUAS,NOT AVAILABLE,-999,OTHER TECHNICAL AND TRADE SCHOOLS,NOT AVAILABLE
PAUL MITCHELL THE SCHOOL-MURFREESBORO-NASHVILLE,TN,HENDERSONVILLE,SUMNER,https://nashville.paulmitchell.edu/,183,COSMETOLOGY AND BARBER SCHOOLS,(615) 283-1000
"AMERICAN COLLEGE OF BARBERING - MURFREESBORO,TN",TN,MURFREESBORO,RUTHERFORD,NOT AVAILABLE,-999,COSMETOLOGY AND BARBER SCHOOLS,NOT AVAILABLE
TRIANGLE TECH-CHAMBERSBURG,PA,CHAMBERSBURG,FRANKLIN,https://www.triangle-tech.edu/,26,JUNIOR COLLEGES,(412) 359-1000 EXT 7901
PROVO COLLEGE-IDAHO FALLS CAMPUS,ID,IDAHO FALLS,BONNEVILLE,https://www.eaglegatecollege.edu/locations/idaho-falls/,16,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",(208) 779-2613
UNIVERSITY OF PUERTO RICO-UTUADO,PR,UTUADO,UTUADO,www.uprutuado.edu/,554,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",(787) 894-2828 EXT 2240
BEYOND 21ST CENTURY BEAUTY ACADEMY,CA,SANTA FE SPRINGS,LOS ANGELES,beyondcosmo.com/,114,COSMETOLOGY AND BARBER SCHOOLS,(562) 404-6193
CELEBRITY BARBER SCHOOL,LA,MONROE,OUACHITA,www.celebritystylistbeautyschool.com/,25,COSMETOLOGY AND BARBER SCHOOLS,(318) 322-2500
THE SALON PROFESSIONAL ACADEMY-LEWISVILLE,TX,LEWISVILLE,DENTON,www.tspadallas.com/,166,COSMETOLOGY AND BARBER SCHOOLS,(972) 420-7036
ST PETERSBURG COLLEGE,FL,CLEARWATER,PINELLAS,www.spcollege.edu/,26430,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",(727) 341-4772
LOYOLA UNIVERSITY CHICAGO,IL,CHICAGO,COOK,https://www.luc.edu/,16893,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",(773) 274-3000
LINCOLN TRAIL COLLEGE,IL,ROBINSON,CRAWFORD,www.iecc.edu/ltc,723,JUNIOR COLLEGES,(618) 393-2982
FORT WORTH BEAUTY SCHOOL,TX,BENBROOK,TARRANT,www.fortworthbeautyschoolinc.com/,76,COSMETOLOGY AND BARBER SCHOOLS,(817) 244-5444
PAUL MITCHELL THE SCHOOL-JESSUP,MD,JESSUP,HOWARD,https://paulmitchell.edu/jessup,138,COSMETOLOGY AND BARBER SCHOOLS,(301) 366-8675
TEXAS CHRISTIAN UNIVERSITY,TX,FORT WORTH,TARRANT,www.tcu.edu/,11379,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",(817) 257-7000
MERCER COUNTY COMMUNITY COLLEGE,NJ,WEST WINDSOR,MERCER,www.mccc.edu/,6342,JUNIOR COLLEGES,(609) 586-4800
INTERNATIONAL ACADEMY OF STYLE,NV,RENO,WASHOE,www.internationalacademyofstyle.com/,52,COSMETOLOGY AND BARBER SCHOOLS,(775) 823-9003
PAUL MITCHELL THE SCHOOL-AUSTIN,TX,AUSTIN,TRAVIS,https://paulmitchell.edu/austin,182,COSMETOLOGY AND BARBER SCHOOLS,(512) 251-1644
OGDEN-WEBER TECHNICAL COLLEGE,UT,OGDEN,WEBER,www.otech.edu/,2583,JUNIOR COLLEGES,(801) 627-8300
GATEWAY TECHNICAL COLLEGE,WI,KENOSHA,KENOSHA,https://www.gtc.edu/,7839,JUNIOR COLLEGES,(262) 564-2200
JOHNSON UNIVERSITY,TN,KNOXVILLE,KNOX,johnsonu.edu/,1039,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",(865) 573-4517
STRAYER UNIVERSITY-GLOBAL REGION,DC,WASHINGTON,DISTRICT OF COLUMBIA,www.strayer.edu/,10457,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",(877) 445-7180
EMPIRE BEAUTY SCHOOL-WYOMING VALLEY,PA,MOOSIC,LACKAWANNA,www.empire.edu/,138,COSMETOLOGY AND BARBER SCHOOLS,(800) 920-4593
UNIVERSITY OF NEBRASKA-CENTRAL ADMINISTRATION SYSTEM OFFICE,NE,LINCOLN,LANCASTER,https://www.nebraska.edu/,-999,EDUCATIONAL SUPPORT SERVICES,(402) 472-5242
ROSEDALE TECHNICAL COLLEGE,PA,PITTSBURGH,ALLEGHENY,www.rosedaletech.org/,385,JUNIOR COLLEGES,(412) 521-6200 EXT 112
PLATT COLLEGE-OKC-MEMORIAL,OK,OKLAHOMA CITY,OKLAHOMA,https://www.plattcolleges.edu/,128,JUNIOR COLLEGES,(405) 749-2433
PIKES PEAK COMMUNITY COLLEGE,CO,COLORADO SPRINGS,EL PASO,www.ppcc.edu/,12506,JUNIOR COLLEGES,(719) 502-2000
TRINITY CHRISTIAN COLLEGE,IL,PALOS HEIGHTS,COOK,www.trnty.edu/,1086,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",(708) 597-3000
UNITEK COLLEGE,CA,SOUTH SAN FRANCISCO,SAN MATEO,www.unitekcollege.edu/,230,OTHER TECHNICAL AND TRADE SCHOOLS,(650) 871-0701 EXT 112
MINNESOTA SCHOOL OF COSMETOLOGY-PLYMOUTH CAMPUS,MN,PLYMOUTH,HENNEPIN,https://www.msccollege.edu/,-999,COSMETOLOGY AND BARBER SCHOOLS,(763) 548-1457
KENT STATE UNIVERSITY AT SALEM,OH,SALEM,COLUMBIANA,www.kent.edu/columbiana,1729,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",(330) 332-0361
TRI-STATE COSMETOLOGY INSTITUTE,TX,EL PASO,EL PASO,tristatecosmetology.com/,138,COSMETOLOGY AND BARBER SCHOOLS,(915) 533-8274
UNIVERSITY OF PHOENIX-TEXAS,TX,HOUSTON,HARRIS,https://www.phoenix.edu/,273,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",(866) 766-0766
CITY UNIVERSITY OF SEATTLE,WA,SEATTLE,KING,www.cityu.edu/,2052,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",(888) 422-4898
COACHELLA VALLEY BEAUTY COLLEGE-HEMET,CA,HEMET,RIVERSIDE,cvbeautycollege.com/,73,COSMETOLOGY AND BARBER SCHOOLS,(951) 769-0675
METROPOLITAN COLLEGE OF NEW YORK,NY,NEW YORK,NEW YORK,https://www.mcny.edu/,856,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",(800) 338-4465
GEMOLOGICAL INSTITUTE OF AMERICA-NEW YORK,NY,NEW YORK,NEW YORK,www.gia.edu/gem-education,51,OTHER TECHNICAL AND TRADE SCHOOLS,(212) 944-5900
SWEDISH INSTITUTE A COLLEGE OF HEALTH SCIENCES,NY,NEW YORK,NEW YORK,www.swedishinstitute.edu/,765,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",(212) 924-5900 EXT 131
ROSALIND FRANKLIN UNIVERSITY OF MEDICINE AND SCIENCE,IL,NORTH CHICAGO,LAKE,www.rosalindfranklin.edu/,2099,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",(847) 578-3000
STRAYER UNIVERSITY-DISTRICT OF COLUMBIA,DC,WASHINGTON,DISTRICT OF COLUMBIA,www.strayer.edu/campus-locations/district-columbia/washington,745,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",(877) 445-7180
INTERCOAST COLLEGES-RANCHO CORDOVA,CA,RANCHO CORDOVA,SACRAMENTO,https://www.intercoast.edu/,175,OTHER TECHNICAL AND TRADE SCHOOLS,(916) 714-5400
NORTH-WEST COLLEGE-VAN NUYS,CA,VAN NUYS,LOS ANGELES,www.north-westcollege.edu/,175,OTHER TECHNICAL AND TRADE SCHOOLS,(626) 796-5815
DESIGN INSTITUTE OF SAN DIEGO,CA,SAN DIEGO,SAN DIEGO,www.disd.edu/,130,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",(858) 566-1200
CHRISTIAN THEOLOGICAL SEMINARY,IN,INDIANAPOLIS,MARION,www.cts.edu/,156,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",(317) 924-1331
BIG BEND TECHNICAL COLLEGE,FL,PERRY,TAYLOR,https://www.bbtc.edu/,203,OTHER TECHNICAL AND TRADE SCHOOLS,(850) 838-2545
ARTISTIC NAILS AND BEAUTY ACADEMY-TAMPA,FL,TAMPA,HILLSBOROUGH,https://www.artistic.edu/,227,COSMETOLOGY AND BARBER SCHOOLS,(813) 654-4529
NEW JERSEY INSTITUTE OF TECHNOLOGY,NJ,NEWARK,ESSEX,www.njit.edu/,11652,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",(973) 596-3000
INTER AMERICAN UNIVERSITY OF PUERTO RICO-PONCE,PR,MERCEDITA,PONCE,www.ponce.inter.edu/,3910,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",(787) 284-1912
ANNENBERG SCHOOL OF NURSING,CA,RESEDA,LOS ANGELES,www.asn.edu/,24,OTHER TECHNICAL AND TRADE SCHOOLS,(818) 757-4431
COLORADO SCHOOL OF TRADITIONAL CHINESE MEDICINE,CO,DENVER,DENVER,www.cstcm.edu/,84,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",(303) 329-6355
ILISAGVIK COLLEGE,AK,BARROW,NORTH SLOPE,www.ilisagvik.edu/,232,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",(907) 852-3333
STRATFORD UNIVERSITY,VA,ALEXANDRIA,ALEXANDRIA CITY,www.stratford.edu/,1947,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",(703) 539-6890
UNIVERSITY OF MARY,ND,BISMARCK,BURLEIGH,https://www.umary.edu/,3799,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",(701) 255-7500
PITTSBURGH INSTITUTE OF MORTUARY SCIENCE INC,PA,PITTSBURGH,ALLEGHENY,www.pims.edu/,191,JUNIOR COLLEGES,(412) 362-8500
MCCORMICK THEOLOGICAL SEMINARY,IL,CHICAGO,COOK,https://www.mccormick.edu/,221,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",(773) 947-6300
GARRETT-EVANGELICAL THEOLOGICAL SEMINARY,IL,EVANSTON,COOK,www.garrett.edu/,283,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",(847) 866-3900
LAKE SUPERIOR STATE UNIVERSITY,MI,SAULT STE MARIE,CHIPPEWA,www.lssu.edu/,1909,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",(906) 632-6841
CROWDER COLLEGE,MO,NEOSHO,NEWTON,www.crowder.edu/,4194,JUNIOR COLLEGES,(417) 451-3223
M J MURPHY BEAUTY COLLEGE OF MOUNT PLEASANT,MI,MOUNT PLEASANT,ISABELLA,mjmbc.net/,24,COSMETOLOGY AND BARBER SCHOOLS,(989) 773-8629
BAIS MEDRASH ELYON,NY,MONSEY,ROCKLAND,baismedroshelyon.com/,91,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",(845) 356-7065
OHIO STATE COLLEGE OF BARBER STYLING,OH,COLUMBUS,FRANKLIN,www.osbc.edu/,247,COSMETOLOGY AND BARBER SCHOOLS,(614) 868-1015
GODS BIBLE SCHOOL AND COLLEGE,OH,CINCINNATI,HAMILTON,www.gbs.edu/,335,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",(513) 721-7944
EVES COLLEGE OF HAIRSTYLING,OK,LAWTON,COMANCHE,www.eliteacademyok.com/,95,COSMETOLOGY AND BARBER SCHOOLS,(580) 355-6620
FORREST COLLEGE,SC,ANDERSON,ANDERSON,www.forrestcollege.edu/,-999,JUNIOR COLLEGES,(864) 225-7653
STATE COLLEGE OF BEAUTY CULTURE INC,WI,WAUSAU,MARATHON,www.statecollegeofbeauty.com/,34,COSMETOLOGY AND BARBER SCHOOLS,(715) 845-2888
GRAND RIVER TECHNICAL SCHOOL,MO,CHILLICOTHE,LIVINGSTON,www.grts.org/,53,OTHER TECHNICAL AND TRADE SCHOOLS,(660) 646-3414
MARIA COLLEGE OF ALBANY,NY,ALBANY,ALBANY,www.mariacollege.edu/,864,JUNIOR COLLEGES,(518) 438-3111
PLAZA COLLEGE,NY,FOREST HILLS,QUEENS,www.plazacollege.edu/,914,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",(718) 779-1430
TRIANGLE TECH INC-GREENSBURG,PA,GREENSBURG,WESTMORELAND,www.triangle-tech.edu/,127,JUNIOR COLLEGES,(724) 832-1050
ECCLESIA COLLEGE,AR,SPRINGDALE,BENTON,ecollege.edu/,193,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",(479) 248-7236
UNIVERSITY OF WEST ALABAMA,AL,LIVINGSTON,SUMTER,www.uwa.edu/,5734,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",(205) 652-3400
UNIVERSITY OF NORTH ALABAMA,AL,FLORENCE,LAUDERDALE,www.una.edu/,8086,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",(256) 765-4100
SNEAD STATE COMMUNITY COLLEGE,AL,BOAZ,MARSHALL,www.snead.edu/,2006,JUNIOR COLLEGES,(256) 593-5120
PINEVILLE BEAUTY SCHOOL,LA,PINEVILLE,RAPIDES,www.pinevillebeauty.com/,52,COSMETOLOGY AND BARBER SCHOOLS,(318) 445-1040
LOUISIANA ACADEMY OF BEAUTY,LA,EUNICE,ST. LANDRY,www.louisianaacademyofbeauty.com/,26,COSMETOLOGY AND BARBER SCHOOLS,(337) 457-9480
LIBERTY UNIVERSITY,VA,LYNCHBURG,LYNCHBURG CITY,www.liberty.edu/,93349,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",(434) 582-2000
TENAJ SALON INSTITUTE,FL,THE VILLAGES,SUMTER,www.tenajsaloninstitute.edu/,101,COSMETOLOGY AND BARBER SCHOOLS,(352) 259-6716 EXT 4
EMPIRE BEAUTY SCHOOL-MORROW,GA,MORROW,CLAYTON,www.empire.edu/,180,COSMETOLOGY AND BARBER SCHOOLS,(800) 920-4593
MILAN INSTITUTE-BOISE,ID,BOISE,ADA,www.milaninstitute.edu/,96,COSMETOLOGY AND BARBER SCHOOLS,(208) 965-8140
AMERICAN UNIVERSITY OF HEALTH SCIENCES,CA,SIGNAL HILL,LOS ANGELES,https://www.auhs.edu/,408,JUNIOR COLLEGES,(562) 988-2278 EXT 2001
MIAMI AD SCHOOL-SAN FRANCISCO,CA,SAN FRANCISCO,SAN FRANCISCO,www.miamiadschool.com/,19,OTHER TECHNICAL AND TRADE SCHOOLS,(415) 837-0966
EASTERN VIRGINIA CAREER COLLEGE,VA,FREDERICKSBURG,SPOTSYLVANIA,www.evcc.edu/,190,JUNIOR COLLEGES,(540) 373-4465 EXT 221
JAY'S TECHNICAL INSTITUTE,TX,HOUSTON,HARRIS,jtisite.wix.com/jaysbarberandbeauty,105,COSMETOLOGY AND BARBER SCHOOLS,(713) 772-2410
JOHN D ROCKEFELLER IV CAREER CENTER,WV,NEW CUMBERLAND,HANCOCK,www.jdrcc.org/,24,OTHER TECHNICAL AND TRADE SCHOOLS,(304) 564-3337
OKLAHOMA PANHANDLE STATE UNIVERSITY,OK,GOODWELL,TEXAS,www.opsu.edu/,1337,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",(580) 349-2611
SOUTHWEST WISCONSIN TECHNICAL COLLEGE,WI,FENNIMORE,GRANT,https://www.swtc.edu/,2581,JUNIOR COLLEGES,(608) 822-3262
LEWIS AND CLARK COMMUNITY COLLEGE,IL,GODFREY,MADISON,www.lc.edu/,4683,JUNIOR COLLEGES,(618) 468-7000
HUSTON-TILLOTSON UNIVERSITY,TX,AUSTIN,TRAVIS,www.htu.edu/,1058,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",(512) 505-3000
THE UNIVERSITY OF TEXAS HEALTH SCIENCE CENTER AT HOUSTON,TX,HOUSTON,HARRIS,www.uth.edu/,5608,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",(713) 500-4472
YTI CAREER INSTITUTE-ALTOONA,PA,ALTOONA,BLAIR,www.yti.edu/,59,JUNIOR COLLEGES,(814) 201-2208
CENTRAL COAST COLLEGE,CA,SALINAS,MONTEREY,www.centralcoastcollege.edu/,319,OTHER TECHNICAL AND TRADE SCHOOLS,(831) 424-6767
AUTOMOTIVE TRAINING CENTER-WARMINSTER,PA,WARMINSTER,BUCKS,www.autotraining.edu/,272,OTHER TECHNICAL AND TRADE SCHOOLS,(215) 259-1900
UNIVERSITY OF THE WEST,CA,ROSEMEAD,LOS ANGELES,www.uwest.edu/,238,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",(626) 571-8811 EXT 100
WHITWORTH UNIVERSITY-ADULT DEGREE PROGRAMS,WA,SPOKANE,SPOKANE,https://www.whitworth.edu/cms/,262,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",(509) 777-1000
UNIVERSITY OF NEW ORLEANS,LA,NEW ORLEANS,ORLEANS,new.uno.edu/,8375,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",(888) 514-4275
SAYBROOK UNIVERSITY,CA,PASADENA,LOS ANGELES,https://www.saybrook.edu/,785,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",(626) 316-5300
CALIFORNIA STATE UNIVERSITY-NORTHRIDGE,CA,NORTHRIDGE,LOS ANGELES,https://www.csun.edu/,40381,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",(818) 677-1200
JOHN WOOD COMMUNITY COLLEGE,IL,QUINCY,ADAMS,www.jwcc.edu/,1881,JUNIOR COLLEGES,(217) 224-6500
MID CITIES BARBER COLLEGE,TX,GRAND PRAIRIE,DALLAS,midcitiesbarbercollege.com/,33,COSMETOLOGY AND BARBER SCHOOLS,(972) 642-1892
PALOMAR INSTITUTE OF COSMETOLOGY,CA,SAN MARCOS,SAN DIEGO,https://pic.edu/,99,COSMETOLOGY AND BARBER SCHOOLS,(760) 744-7900 EXT 113
PHILLIPS THEOLOGICAL SEMINARY,OK,TULSA,TULSA,https://www.ptstulsa.edu/,170,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",(918) 610-8303
BRANFORD HALL CAREER INSTITUTE-SOUTHINGTON CAMPUS,CT,SOUTHINGTON,HARTFORD,www.branfordhall.edu,-999,OTHER TECHNICAL AND TRADE SCHOOLS,(860) 276-0600
ACADEMY DI CAPELLI-SCHOOL OF COSMETOLOGY,CT,WALLINGFORD,NEW HAVEN,www.academydicapelli.com/,196,COSMETOLOGY AND BARBER SCHOOLS,(203) 294-9496 EXT 0
HOT SPRINGS BEAUTY COLLEGE,AR,HOT SPRINGS,GARLAND,hotspringsbeautycollege.com/,81,COSMETOLOGY AND BARBER SCHOOLS,(501) 624-4258
GLENDALE CAREER COLLEGE,CA,GLENDALE,LOS ANGELES,www.success.edu/,632,OTHER TECHNICAL AND TRADE SCHOOLS,(818) 243-1131 EXT 201
UNIVERSAL TECHNICAL INSTITUTE OF NORTHERN CALIFORNIA INC,CA,SACRAMENTO,SACRAMENTO,www.uti.edu/,1350,OTHER TECHNICAL AND TRADE SCHOOLS,(800) 508-1153
QUINEBAUG VALLEY COMMUNITY COLLEGE,CT,DANIELSON,WINDHAM,https://qvcc.edu/,1161,JUNIOR COLLEGES,(860) 932-4000
NEW ENGLAND HAIR ACADEMY,MA,MALDEN,MIDDLESEX,www.newenglandhairacademy.com/,178,COSMETOLOGY AND BARBER SCHOOLS,(781) 324-6799
HARCUM COLLEGE,PA,BRYN MAWR,MONTGOMERY,https://www.harcum.edu/s/1044/edu/start.aspx,1150,JUNIOR COLLEGES,(610) 525-4100
PEIRCE COLLEGE,PA,PHILADELPHIA,PHILADELPHIA,https://www.peirce.edu/,1046,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",(888) 467-3472
WASHINGTON HOSPITAL SCHOOL OF NURSING,PA,WASHINGTON,WASHINGTON,www.whs.org/,42,OTHER TECHNICAL AND TRADE SCHOOLS,(724) 223-3167
MEDSPA ACADEMIES,UT,SOUTH JORDAN,SALT LAKE,www.nima.edu/,212,COSMETOLOGY AND BARBER SCHOOLS,(801) 302-1650
JOHN PATRICK UNIVERSITY OF HEALTH AND APPLIED SCIENCES,IN,SOUTH BEND,ST. JOSEPH,https://jpu.edu/,133,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",(574) 232-2408
YESHIVA GEDOLA TIFERES YERACHMIEL,NJ,LAKEWOOD,OCEAN,https://yeshivagedolatiferesyerachmiel.com/,154,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",(732) 676-1790
ELEVATE SALON INSTITUTE,NC,DURHAM,DURHAM,www.esidurham.com/,124,OTHER TECHNICAL AND TRADE SCHOOLS,(919) 670-3070 EXT 91967
COMMERCIAL DIVERS INTERNATIONAL,AZ,GOODYEAR,MARICOPA,commercialdiversinternational.edu/,69,OTHER TECHNICAL AND TRADE SCHOOLS,(623) 882-3483
WESTERN MARICOPA EDUCATION CENTER,AZ,GLENDALE,MARICOPA,https://west-mec.edu/findyourhappy/,180,JUNIOR COLLEGES,(623) 738-0022
ALTURA COLLEGE,WA,PULLMAN,WHITMAN,www.alturacollege.com/,3,COSMETOLOGY AND BARBER SCHOOLS,(509) 334-3444
NUC UNIVERSITY - IBC INSTITUTE - BAYAM?N,PR,BAYAMON,BAYAMÓN,NOT AVAILABLE,-999,OTHER TECHNICAL AND TRADE SCHOOLS,NOT AVAILABLE
SANS TECHNOLOGY INSTITUTE,MD,BETHESDA,MONTGOMERY,www.sans.edu,504,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",(301) 241-7665
ELEVATE SALON INSTITUTE,NC,DURHAM,DURHAM,www.esidurham.com,90,OTHER TECHNICAL AND TRADE SCHOOLS,(919) 670-3070
LESTON COLLEGE -,PR,ISABELA,ISABELA,NOT AVAILABLE,-999,OTHER TECHNICAL AND TRADE SCHOOLS,NOT AVAILABLE
RABBINICAL SEMINARY OF AMERICA - MA'YAN HATORAH,NY,RICHMOND HILL,QUEENS,NOT AVAILABLE,-999,OTHER TECHNICAL AND TRADE SCHOOLS,NOT AVAILABLE
ACADEMY OF INTERACTIVE ENTERTAINMENT,WA,SEATTLE,KING,https://www.aie.edu/,135,OTHER TECHNICAL AND TRADE SCHOOLS,(206) 428-6350
MICHIGAN CAREER AND TECHNICAL INSTITUTE,MI,PLAINWELL,BARRY,www.michigan.gov/MCTI,108,OTHER TECHNICAL AND TRADE SCHOOLS,(269) 664-4461
THE AILEY SCHOOL,NY,NEW YORK,NEW YORK,www.theaileyschool.edu/,20,OTHER TECHNICAL AND TRADE SCHOOLS,(212) 405-9008
STRAYER UNIVERSITY-DELAWARE,DE,WILMINGTON,NEW CASTLE,www.strayer.edu/campus-locations/delaware/wilmington,394,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",(877) 455-7180
CARRINGTON COLLEGE-RENO,NV,RENO,WASHOE,https://carrington.edu/,526,JUNIOR COLLEGES,(775) 335-2900
ARIZONA COLLEGE OF NURSING-LAS VEGAS,NV,LAS VEGAS,CLARK,https://www.arizonacollege.edu/,746,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",(855) 706-8382
CALIFORNIA JAZZ CONSERVATORY,CA,BERKELEY,ALAMEDA,www.cjc.edu/,35,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",(510) 845-5373
ERIC FISHER ACADEMY,KS,WICHITA,SEDGWICK,www.ericfisheracademy.com/,172,COSMETOLOGY AND BARBER SCHOOLS,(316) 440-5555
EASTERN COLLEGE OF HEALTH VOCATIONS-NEW ORLEANS,LA,NEW ORLEANS,JEFFERSON,www.easterncollege.edu./,37,OTHER TECHNICAL AND TRADE SCHOOLS,(504) 736-0654
PALM BEACH STATE COLLEGE,FL,LAKE WORTH,PALM BEACH,www.palmbeachstate.edu/,26666,JUNIOR COLLEGES,(561) 967-7222
UNIVERSITY OF IDAHO,ID,MOSCOW,LATAH,www.uidaho.edu/,10791,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",(888) 884-3246
AMERICAN INSTITUTE OF ALTERNATIVE MEDICINE,NJ,EAST BRUNSWICK,MIDDLESEX,massageschoolnewjersey.com/,30,OTHER TECHNICAL AND TRADE SCHOOLS,(732) 651-6060
MIDWESTERN CAREER COLLEGE,IL,CHICAGO,COOK,www.mccollege.edu/,655,OTHER TECHNICAL AND TRADE SCHOOLS,(312) 236-9000 EXT 1010
CRAVEN COMMUNITY COLLEGE,NC,NEW BERN,CRAVEN,www.cravencc.edu/,2629,JUNIOR COLLEGES,(252) 638-7200
SCHOOLCRAFT COLLEGE,MI,LIVONIA,WAYNE,www.schoolcraft.edu/,8116,JUNIOR COLLEGES,(734) 462-4400
BALTIMORE CITY COMMUNITY COLLEGE,MD,BALTIMORE,BALTIMORE CITY,www.bccc.edu/,4181,JUNIOR COLLEGES,(410) 462-8300
CLOYD'S BEAUTY SCHOOL 1 INC,LA,WEST MONROE,OUACHITA,cloydsbeautyschool.com/,43,COSMETOLOGY AND BARBER SCHOOLS,(318) 376-9133
CHAMBERLAIN UNIVERSITY-VIRGINIA,VA,VIENNA,FAIRFAX,https://www.chamberlain.edu/,622,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",(703) 416-7300
DIAMONDS COSMETOLOGY COLLEGE,TX,SHERMAN,GRAYSON,www.diamondscosmetology.com/,55,COSMETOLOGY AND BARBER SCHOOLS,(903) 891-0758 EXT 51277
REMINGTON COLLEGE-DALLAS CAMPUS,TX,GARLAND,DALLAS,www.remingtoncollege.edu/dallas-texas-career-schools-overview,628,JUNIOR COLLEGES,(972) 686-7878
SOUTHERN ILLINOIS UNIVERSITY-EDWARDSVILLE,IL,EDWARDSVILLE,MADISON,www.siue.edu/,12860,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",(888) 328-5168
SAE INSTITUTE OF TECHNOLOGY-MIAMI,FL,NORTH MIAMI BEACH,MIAMI-DADE,usa.sae.edu/campuses/miami/,70,OTHER TECHNICAL AND TRADE SCHOOLS,(954) 415-0901
AUSTIN PEAY STATE UNIVERSITY,TN,CLARKSVILLE,MONTGOMERY,www.apsu.edu/,10272,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",(931) 221-7011
COLORADO STATE UNIVERSITY-GLOBAL CAMPUS,CO,AURORA,ARAPAHOE,https://csuglobal.edu/,12578,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",(800) 920-6723
